"ttl","ttl href"
"ЗАКОН ЗА ФУРАЖИТЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135531693/zakon-za-furazhite"
"ЗАКОН ЗА ЗАЩИТЕНИТЕ ТЕРИТОРИИ","https://www.ciela.net/svobodna-zona-normativi/view/2134445060/zakon-za-zashtitenite-teritorii"
"ЗАКОН ЗА БАНКОВАТА НЕСЪСТОЯТЕЛНОСТ","https://www.ciela.net/svobodna-zona-normativi/view/2135458119/zakon-za-bankovata-nesastoyatelnost"
"ЗАКОН ЗА АДВОКАТУРАТА","https://www.ciela.net/svobodna-zona-normativi/view/2135486731/zakon-za-advokaturata"
"ЗАКОН ЗА ОБЩИНСКАТА СОБСТВЕНОСТ","https://www.ciela.net/svobodna-zona-normativi/view/2133874691/zakon-za-obshtinskata-sobstvenost"
"ЗАКОН ЗА ДЪРЖАВНАТА СОБСТВЕНОСТ","https://www.ciela.net/svobodna-zona-normativi/view/2133874689/zakon-za-darzhavnata-sobstvenost"
"ЗАКОН ЗА УПРАВЛЕНИЕ НА ЕТАЖНАТА СОБСТВЕНОСТ","https://www.ciela.net/svobodna-zona-normativi/view/2135614516/zakon-za-upravlenie-na-etazhnata-sobstvenost"
"ЗАКОН ЗА ЛИХВИТЕ ВЪРХУ ДАНЪЦИ, ТАКСИ И ДРУГИ ПОДОБНИ ДЪРЖАВНИ ВЗЕМАНИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2123675140/zakon-za-lihvite-varhu-danatsi-taksi-i-drugi-podobni-darzhavni-vzemaniya"
"ЗАКОН ЗА ПРЕМИНАВАНЕТО ПРЕЗ И ПРЕБИВАВАНЕТО НА ТЕРИТОРИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ НА СЪЮЗНИЧЕСКИ И НА ЧУЖДИ ВЪОРЪЖЕНИ СИЛИ","https://www.ciela.net/svobodna-zona-normativi/view/2135514078/zakon-za-preminavaneto-prez-i-prebivavaneto-na-teritoriyata-na-republika-balgariya-na-sayuznicheski-i-na-chuzhdi-vaorazheni-sili"
"ЗАКОН ЗА СТАТИСТИКАТА","https://www.ciela.net/svobodna-zona-normativi/view/2134668297/zakon-za-statistikata"
"ЗАКОН ЗА МЕСТНОТО САМОУПРАВЛЕНИЕ И МЕСТНАТА АДМИНИСТРАЦИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2132580865/zakon-za-mestnoto-samoupravlenie-i-mestnata-administratsiya"
"ЗАКОН ЗА ОГРАНИЧАВАНЕ НА ПЛАЩАНИЯТА В БРОЙ","https://www.ciela.net/svobodna-zona-normativi/view/2135718725/zakon-za-ogranichavane-na-plashtaniyata-v-broy"
"ЗАКОН ЗА АМНИСТИЯ И ЗА ОСВОБОЖДАВАНЕ ОТ ИЗТЪРПЯВАНЕ НА НАЛОЖЕНИ НАКАЗАНИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2132282880/zakon-za-amnistiya-i-za-osvobozhdavane-ot-iztarpyavane-na-nalozheni-nakazaniya"
"ЗАКОН ЗА ПОДЗЕМНИТЕ БОГАТСТВА","https://www.ciela.net/svobodna-zona-normativi/view/2134650880/zakon-za-podzemnite-bogatstva"
"ЗАКОН ЗА ЕКСТРАДИЦИЯТА И ЕВРОПЕЙСКАТА ЗАПОВЕД ЗА АРЕСТ","https://www.ciela.net/svobodna-zona-normativi/view/2135504378/zakon-za-ekstraditsiyata-i-evropeyskata-zapoved-za-arest"
"ЗАКОН ЗА СЪСЛОВНИТЕ ОРГАНИЗАЦИИ НА МЕДИЦИНСКИТЕ СЕСТРИ, АКУШЕРКИТЕ И АСОЦИИРАНИТЕ МЕДИЦИНСКИ СПЕЦИАЛИСТИ, НА ЛЕКАРСКИТЕ АСИСТЕНТИ, НА ЗЪБОТЕХНИЦИТЕ И НА ПОМОЩНИК-ФАРМАЦЕВТИТЕ (ЗАГЛ. ИЗМ. - ДВ, БР. 91 ОТ 2018 Г., ИЗМ. - ДВ, БР. 39 ОТ 2024 Г., В СИЛА О","https://www.ciela.net/svobodna-zona-normativi/view/2135504377/zakon-za-saslovnite-organizatsii-na-meditsinskite-sestri-akusherkite-i-asotsiiranite-meditsinski-spetsialisti-na-lekarskite-asistenti-na-zabotehnitsite-i-na-pomoshtnik-farmatsevtite-(zagl-izm---dv-br-91-ot-2018-g-izm---dv-br-39-ot-2024-g-v-sila-o"
"ЗАКОН ЗА СОЦИАЛНО ПОДПОМАГАНЕ","https://www.ciela.net/svobodna-zona-normativi/view/2134405633/zakon-za-sotsialno-podpomagane"
"ЗАКОН ЗА ДАНЪК ВЪРХУ ЗАСТРАХОВАТЕЛНИТЕ ПРЕМИИ","https://www.ciela.net/svobodna-zona-normativi/view/2135701313/zakon-za-danak-varhu-zastrahovatelnite-premii"
"ЗАКОН ЗА ОТТЕГЛЯНЕ НА РЕЗЕРВИ И ДЕКЛАРАЦИИ ПО МЕЖДУНАРОДНИ КОНВЕНЦИИ ОТНОСНО ЗАДЪЛЖИТЕЛНАТА ЮРИСДИКЦИЯ НА МЕЖДУНАРОДНИЯ СЪД И НА МЕЖДУНАРОДНИЯ АРБИТРАЖ","https://www.ciela.net/svobodna-zona-normativi/view/2133331969/zakon-za-otteglyane-na-rezervi-i-deklaratsii-po-mezhdunarodni-konventsii-otnosno-zadalzhitelnata-yurisdiktsiya-na-mezhdunarodniya-sad-i-na-mezhdunarodniya-arbitrazh"
"ЗАКОН ЗА ФИНАНСОВОТО УПРАВЛЕНИЕ И КОНТРОЛ В ПУБЛИЧНИЯ СЕКТОР","https://www.ciela.net/svobodna-zona-normativi/view/2135517848/zakon-za-finansovoto-upravlenie-i-kontrol-v-publichniya-sektor"
"ЗАКОН ЗА СТОКОВИТЕ БОРСИ И ТЪРЖИЩАТА","https://www.ciela.net/svobodna-zona-normativi/view/2133897735/zakon-za-stokovite-borsi-i-tarzhishtata"
"ЗАКОН ЗА ОСОБЕНИТЕ ЗАЛОЗИ","https://www.ciela.net/svobodna-zona-normativi/view/2133897734/zakon-za-osobenite-zalozi"
"ЗАКОН ЗА НОТАРИУСИТЕ И НОТАРИАЛНАТА ДЕЙНОСТ (ЗАГЛ. ИЗМ. - ДВ, БР. 123 ОТ 1997 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/2133897733/zakon-za-notariusite-i-notarialnata-deynost-(zagl-izm---dv-br-123-ot-1997-g)"
"ЗАКОН ЗА АМНИСТИЯ ОТ 1984 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2130728960/zakon-za-amnistiya-ot-1984-g"
"ЗАКОН ЗА РЕГИОНАЛНОТО РАЗВИТИЕ","https://www.ciela.net/svobodna-zona-normativi/view/2135589285/zakon-za-regionalnoto-razvitie"
"ЗАКОН ЗА РАЗВИТИЕТО НА АКАДЕМИЧНИЯ СЪСТАВ В РЕПУБЛИКА БЪЛГАРИЯ","https://www.ciela.net/svobodna-zona-normativi/view/2135680028/zakon-za-razvitieto-na-akademichniya-sastav-v-republika-balgariya"
"ЗАКОН ЗА ПОТРЕБИТЕЛСКИЯ КРЕДИТ","https://www.ciela.net/svobodna-zona-normativi/view/2135666506/zakon-za-potrebitelskiya-kredit"
"ЗАКОН ЗА ДЪРЖАВНИЯ БЮДЖЕТ НА РЕПУБЛИКА БЪЛГАРИЯ ЗА 2011 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135708982/zakon-za-darzhavniya-byudzhet-na-republika-balgariya-za-2011-g"
"ЗАКОН ЗА УРЕЖДАНЕ ПРАВАТА НА КУПУВАЧИ НА НЕДВИЖИМИ ИМОТИ С ЧАСТНИ ДОГОВОРИ","https://www.ciela.net/svobodna-zona-normativi/view/2121095169/zakon-za-urezhdane-pravata-na-kupuvachi-na-nedvizhimi-imoti-s-chastni-dogovori"
"ЗАКОН ЗА АДМИНИСТРАТИВНОТО РЕГУЛИРАНЕ НА ПРОИЗВОДСТВОТО НА ОПТИЧНИ ДИСКОВЕ И МАТРИЦИ (ЗАГЛ. ИЗМ. - ДВ, БР. 26 ОТ 2020 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/2135510075/zakon-za-administrativnoto-regulirane-na-proizvodstvoto-na-optichni-diskove-i-matritsi-(zagl-izm---dv-br-26-ot-2020-g)"
"ЗАКОН ЗА ЗАЩИТА ОТ ШУМА В ОКОЛНАТА СРЕДА","https://www.ciela.net/svobodna-zona-normativi/view/2135510077/zakon-za-zashtita-ot-shuma-v-okolnata-sreda"
"ЗАКОН ЗА АВТОРСКОТО ПРАВО И СРОДНИТЕ МУ ПРАВА","https://www.ciela.net/svobodna-zona-normativi/view/2133094401/zakon-za-avtorskoto-pravo-i-srodnite-mu-prava"
"ЗАКОН ЗА КОНЦЕСИИТЕ ОТ 2006 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135523562/zakon-za-kontsesiite-ot-2006-g"
