"ttl","ttl href"
"КОДЕКС НА ТЪРГОВСКОТО КОРАБОПЛАВАНЕ (ЗАГЛ. ИЗМ. - ДВ, БР. 113 ОТ 2002 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/1590193665/kodeks-na-targovskoto-koraboplavane-(zagl-izm---dv-br-113-ot-2002-g)"
"КОДЕКС ЗА СОЦИАЛНО ОСИГУРЯВАНЕ (ЗАГЛ. ИЗМ. - ДВ, БР. 67 ОТ 2003 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/1597824512/kodeks-za-sotsialno-osiguryavane-(zagl-izm---dv-br-67-ot-2003-g)"
"НАКАЗАТЕЛЕН КОДЕКС","https://www.ciela.net/svobodna-zona-normativi/view/1589654529/nakazatelen-kodeks"
"КОДЕКС НА ТРУДА","https://www.ciela.net/svobodna-zona-normativi/view/1594373121/kodeks-na-truda"
"КОДЕКС ЗА ПОВЕДЕНИЕ НА СЛУЖИТЕЛИТЕ В ДЪРЖАВНАТА АДМИНИСТРАЦИЯ ОТ 2004 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135486505/kodeks-za-povedenie-na-sluzhitelite-v-darzhavnata-administratsiya-ot-2004-g"
"КОДЕКС ЗА ЗАСТРАХОВАНЕТО ОТ 2005 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135514184/kodeks-za-zastrahovaneto-ot-2005-g"
"ДАНЪЧНО-ОСИГУРИТЕЛЕН ПРОЦЕСУАЛЕН КОДЕКС","https://www.ciela.net/svobodna-zona-normativi/view/2135514513/danachno-osiguritelen-protsesualen-kodeks"
"АДМИНИСТРАТИВНОПРОЦЕСУАЛЕН КОДЕКС","https://www.ciela.net/svobodna-zona-normativi/view/2135521015/administrativnoprotsesualen-kodeks"
"НАКАЗАТЕЛНО-ПРОЦЕСУАЛЕН КОДЕКС","https://www.ciela.net/svobodna-zona-normativi/view/2135512224/nakazatelno-protsesualen-kodeks"
"ГРАЖДАНСКИ ПРОЦЕСУАЛЕН КОДЕКС","https://www.ciela.net/svobodna-zona-normativi/view/2135558368/grazhdanski-protsesualen-kodeks"
"ЕТИЧЕН КОДЕКС НА АДВОКАТА","https://www.ciela.net/svobodna-zona-normativi/view/2135507578/etichen-kodeks-na-advokata"
"СЕМЕЕН КОДЕКС","https://www.ciela.net/svobodna-zona-normativi/view/2135637484/semeen-kodeks"
"КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА МАГИСТЪР-ФАРМАЦЕВТА","https://www.ciela.net/svobodna-zona-normativi/view/2135896487/kodeks-za-profesionalna-etika-na-magistar-farmatsevta"
"КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА ЛЕКАРИТЕ ПО ДЕНТАЛНА МЕДИЦИНА (ЗАГЛ. ИЗМ. - ДВ, БР. 18 ОТ 2017 Г.)","https://www.ciela.net/svobodna-zona-normativi/view/2135896489/kodeks-za-profesionalna-etika-na-lekarite-po-dentalna-meditsina-(zagl-izm---dv-br-18-ot-2017-g)"
"ИЗБОРЕН КОДЕКС ОТ 2011 Г.","https://www.ciela.net/svobodna-zona-normativi/view/2135715515/izboren-kodeks-ot-2011-g"
"КОДЕКС НА МЕЖДУНАРОДНОТО ЧАСТНО ПРАВО","https://www.ciela.net/svobodna-zona-normativi/view/2135503651/kodeks-na-mezhdunarodnoto-chastno-pravo"
